id_sample,plot,sample_name,repetition,genotype,experiment,season,treatment_1,measurment,sampling_identifier
16_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,16,A,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
16_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,16,B,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
16_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,16,C,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
16_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,16,D,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
17_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,17,A,4,PI603426 G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
17_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,17,B,4,PI603426 G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
17_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,17,C,4,PI603426 G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
17_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,17,D,4,PI603426 G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
18_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,18,A,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
18_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,18,B,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
18_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,18,C,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
18_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,18,D,1,PI507480,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
19_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,19,A,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
19_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,19,B,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
19_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,19,C,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
19_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,19,D,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
20_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,20,A,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
20_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,20,B,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
20_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,20,C,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
20_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,20,D,14,PI154189,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
21_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,21,A,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
21_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,21,B,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
21_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,21,C,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
21_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,21,D,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
22_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,22,A,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
22_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,22,B,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
22_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,22,C,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
22_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,22,D,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
23_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,23,A,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
23_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,23,B,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
23_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,23,C,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
23_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,23,D,21,CR164386,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
24_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,24,A,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
24_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,24,B,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
24_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,24,C,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
24_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,24,D,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
25_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,25,A,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
25_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,25,B,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
25_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,25,C,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
25_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,25,D,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
26_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,26,A,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
26_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,26,B,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
26_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,26,C,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
26_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,26,D,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
27_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,27,A,4,PI603426G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
27_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,27,B,4,PI603426G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
27_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,27,C,4,PI603426G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
27_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,27,D,4,PI603426G,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
28_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,28,A,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
28_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,28,B,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
28_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,28,C,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
28_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,28,D,10,PI561389B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
29_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,29,A,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
29_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,29,B,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
29_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,29,C,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
29_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,29,D,15,PI437505,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
30_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,30,A,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
30_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,30,B,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
30_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,30,C,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
30_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,30,D,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
31_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,31,A,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
31_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,31,B,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
31_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,31,C,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
31_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,31,D,24,E19517GT,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
32_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,32,A,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
32_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,32,B,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
32_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,32,C,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
32_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,32,D,17,PI567408,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
33_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,33,A,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
33_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,33,B,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
33_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,33,C,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
33_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,33,D,25,SA1811280,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
34_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,34,A,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
34_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,34,B,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
34_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,34,C,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
34_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,34,D,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
35_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,35,A,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
35_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,35,B,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
35_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,35,C,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
35_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,35,D,12,PI567780B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
36_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,36,A,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
36_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,36,B,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
36_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,36,C,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
36_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,36,D,13,PI378684A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
37_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,37,A,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
37_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,37,B,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
37_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,37,C,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
37_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,37,D,20,CR16-0042,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
38_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,38,A,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
38_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,38,B,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
38_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,38,C,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
38_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,38,D,16,PI506942,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
39_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,39,A,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
39_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,39,B,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
39_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,39,C,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
39_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,39,D,19,HM17-12161,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
40_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,40,A,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
40_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,40,B,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
40_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,40,C,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
40_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,40,D,7,PI407708A,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
41_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,41,A,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
41_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,41,B,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
41_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,41,C,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
41_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,41,D,11,PI605765B,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
42_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,42,A,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
42_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,42,B,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
42_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,42,C,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
42_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,42,D,6,PI84631,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
43_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,43,A,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
43_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,43,B,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
43_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,43,C,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
43_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,43,D,22,LG15-1913-86,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
44_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,44,A,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
44_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,44,B,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
44_C_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,44,C,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
44_D_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,44,D,5,PI84987,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
45_A_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,45,A,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
45_B_ACRE-Biomass_Early planting date_y22_Plant height_Sampling-2,45,B,3,PI594301,ACRE-Biomass,y22,Early planting date,Plant height,Sampling-2
